"Easy Access to Juvenile Populations"
"Table:    California:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","29213499","29213499",
"Black","2807047","2807047",
"American Indian","763693","763693",
"Asian","6248205","6248205",
"Total","39032444","39032444",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
