"Easy Access to Juvenile Populations"
"Table:    Connecticut:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2949979","2949979",
"Black","444459","444459",
"American Indian","22392","22392",
"Asian","177032","177032",
"Total","3593862","3593862",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
