"Easy Access to Juvenile Populations"
"Table:    Kansas:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2563485","2563485",
"Black","206124","206124",
"American Indian","41994","41994",
"Asian","94186","94186",
"Total","2905789","2905789",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
