"Easy Access to Juvenile Populations"
"Table:    West Virginia:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1744165","1744165",
"Black","74483","74483",
"American Indian","4593","4593",
"Asian","16526","16526",
"Total","1839767","1839767",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
