"Easy Access to Juvenile Populations"
"Table:    Maine:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1275572","1275572",
"Black","23798","23798",
"American Indian","10964","10964",
"Asian","17453","17453",
"Total","1327787","1327787",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
