"Easy Access to Juvenile Populations"
"Table:    South Carolina:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","3388380","3388380",
"Black","1386409","1386409",
"American Indian","28841","28841",
"Asian","88793","88793",
"Total","4892423","4892423",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
