"Easy Access to Juvenile Populations"
"Table:    Maryland:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","3649706","3649706",
"Black","1892712","1892712",
"American Indian","40011","40011",
"Asian","418132","418132",
"Total","6000561","6000561",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
