"Easy Access to Juvenile Populations"
"Table:    Tennessee:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5261696","5261696",
"Black","1165657","1165657",
"American Indian","31739","31739",
"Asian","131634","131634",
"Total","6590726","6590726",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
