"Easy Access to Juvenile Populations"
"Table:    North Dakota:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","675364","675364",
"Black","22735","22735",
"American Indian","44473","44473",
"Asian","12287","12287",
"Total","754859","754859",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
