"Easy Access to Juvenile Populations"
"Table:    Hawaii:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","436917","436917",
"Black","41845","41845",
"American Indian","6628","6628",
"Asian","940930","940930",
"Total","1426320","1426320",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
