"Easy Access to Juvenile Populations"
"Table:    Texas:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","22194738","22194738",
"Black","3549027","3549027",
"American Indian","304867","304867",
"Asian","1406248","1406248",
"Total","27454880","27454880",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
