"Easy Access to Juvenile Populations"
"Table:    North Carolina:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","7254964","7254964",
"Black","2304791","2304791",
"American Indian","167980","167980",
"Asian","314034","314034",
"Total","10041769","10041769",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
