"Easy Access to Juvenile Populations"
"Table:    New York:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","14114272","14114272",
"Black","3666055","3666055",
"American Indian","224711","224711",
"Asian","1814309","1814309",
"Total","19819347","19819347",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
