"Easy Access to Juvenile Populations"
"Table:    Colorado:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","4850811","4850811",
"Black","281490","281490",
"American Indian","102102","102102",
"Asian","206042","206042",
"Total","5440445","5440445",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
