"Easy Access to Juvenile Populations"
"Table:    Vermont:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","599920","599920",
"Black","10302","10302",
"American Indian","3085","3085",
"Asian","11148","11148",
"Total","624455","624455",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
