"Easy Access to Juvenile Populations"
"Table:    Massachusetts:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5665039","5665039",
"Black","623598","623598",
"American Indian","38422","38422",
"Asian","466943","466943",
"Total","6794002","6794002",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
