"Easy Access to Juvenile Populations"
"Table:    Wyoming:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","551912","551912",
"Black","9878","9878",
"American Indian","17390","17390",
"Asian","6922","6922",
"Total","586102","586102",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
