"Easy Access to Juvenile Populations"
"Table:    Illinois:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","10068715","10068715",
"Black","1964358","1964358",
"American Indian","87676","87676",
"Asian","741302","741302",
"Total","12862051","12862051",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
