"Easy Access to Juvenile Populations"
"Table:    New Jersey:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","6603704","6603704",
"Black","1394165","1394165",
"American Indian","62263","62263",
"Asian","899869","899869",
"Total","8960001","8960001",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
