"Easy Access to Juvenile Populations"
"Table:    Nevada:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2239093","2239093",
"Black","300133","300133",
"American Indian","54999","54999",
"Asian","288832","288832",
"Total","2883057","2883057",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
