"Easy Access to Juvenile Populations"
"Table:    New Hampshire:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1263626","1263626",
"Black","23797","23797",
"American Indian","4873","4873",
"Asian","37838","37838",
"Total","1330134","1330134",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
