"Easy Access to Juvenile Populations"
"Table:    Oklahoma:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","3045390","3045390",
"Black","344031","344031",
"American Indian","414266","414266",
"Asian","100666","100666",
"Total","3904353","3904353",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
