"Easy Access to Juvenile Populations"
"Table:    Michigan:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","8019171","8019171",
"Black","1487552","1487552",
"American Indian","89376","89376",
"Asian","322071","322071",
"Total","9918170","9918170",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
