"Easy Access to Juvenile Populations"
"Table:    Georgia:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","6376073","6376073",
"Black","3326571","3326571",
"American Indian","57303","57303",
"Asian","439586","439586",
"Total","10199533","10199533",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
