"Easy Access to Juvenile Populations"
"Table:    Delaware:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","674874","674874",
"Black","222434","222434",
"American Indian","6661","6661",
"Asian","40138","40138",
"Total","944107","944107",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
