"Easy Access to Juvenile Populations"
"Table:    Arizona:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5772415","5772415",
"Black","369982","369982",
"American Indian","389388","389388",
"Asian","270477","270477",
"Total","6802262","6802262",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
