"Easy Access to Juvenile Populations"
"Table:    Alabama:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","3414818","3414818",
"Black","1322722","1322722",
"American Indian","36556","36556",
"Asian","76762","76762",
"Total","4850858","4850858",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
