"Easy Access to Juvenile Populations"
"Table:    District of Columbia:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","301897","301897",
"Black","335476","335476",
"American Indian","4804","4804",
"Asian","30559","30559",
"Total","672736","672736",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
