"Easy Access to Juvenile Populations"
"Table:    Nebraska:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1706228","1706228",
"Black","107097","107097",
"American Indian","29929","29929",
"Asian","50310","50310",
"Total","1893564","1893564",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
