"Easy Access to Juvenile Populations"
"Table:    Alaska:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","515889","515889",
"Black","35146","35146",
"American Indian","126661","126661",
"Asian","60283","60283",
"Total","737979","737979",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
