"Easy Access to Juvenile Populations"
"Table:    Florida:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","15973044","15973044",
"Black","3537021","3537021",
"American Indian","110759","110759",
"Asian","647743","647743",
"Total","20268567","20268567",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
