"Easy Access to Juvenile Populations"
"Table:    Pennsylvania:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","10684222","10684222",
"Black","1591062","1591062",
"American Indian","54199","54199",
"Asian","461641","461641",
"Total","12791124","12791124",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
