"Easy Access to Juvenile Populations"
"Table:    New Mexico:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1741038","1741038",
"Black","61880","61880",
"American Indian","236703","236703",
"Asian","42643","42643",
"Total","2082264","2082264",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
