"Easy Access to Juvenile Populations"
"Table:    Louisiana:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2991027","2991027",
"Black","1548000","1548000",
"American Indian","39282","39282",
"Asian","92902","92902",
"Total","4671211","4671211",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
