"Easy Access to Juvenile Populations"
"Table:    Oregon:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","3604121","3604121",
"Black","108635","108635",
"American Indian","88057","88057",
"Asian","215724","215724",
"Total","4016537","4016537",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
