"Easy Access to Juvenile Populations"
"Table:    Mississippi:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1792950","1792950",
"Black","1138771","1138771",
"American Indian","18721","18721",
"Asian","34855","34855",
"Total","2985297","2985297",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
