"Easy Access to Juvenile Populations"
"Table:    Utah:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2767841","2767841",
"Black","50334","50334",
"American Indian","51767","51767",
"Asian","114975","114975",
"Total","2984917","2984917",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
