"Easy Access to Juvenile Populations"
"Table:    Indiana:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5738793","5738793",
"Black","684475","684475",
"American Indian","31089","31089",
"Asian","156239","156239",
"Total","6610596","6610596",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
