"Easy Access to Juvenile Populations"
"Table:    Ohio:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","9710712","9710712",
"Black","1581803","1581803",
"American Indian","41855","41855",
"Asian","271657","271657",
"Total","11606027","11606027",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
