"Easy Access to Juvenile Populations"
"Table:    Missouri:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5131046","5131046",
"Black","760168","760168",
"American Indian","42445","42445",
"Asian","138981","138981",
"Total","6072640","6072640",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
