"Easy Access to Juvenile Populations"
"Table:    Idaho:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","1565948","1565948",
"Black","19046","19046",
"American Indian","33391","33391",
"Asian","30939","30939",
"Total","1649324","1649324",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
