"Easy Access to Juvenile Populations"
"Table:    Iowa:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","2887303","2887303",
"Black","131282","131282",
"American Indian","17847","17847",
"Asian","82041","82041",
"Total","3118473","3118473",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
