"Easy Access to Juvenile Populations"
"Table:    Montana:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","934046","934046",
"Black","9219","9219",
"American Indian","74908","74908",
"Asian","10144","10144",
"Total","1028317","1028317",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
