"Easy Access to Juvenile Populations"
"Table:    Washington:  Race by Year Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","2015","Total",
"White","5912251","5912251",
"Black","362073","362073",
"American Indian","164431","164431",
"Asian","714063","714063",
"Total","7152818","7152818",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
