State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Pennsylvania		42	1	2	"1,591"	DS	0.1	25	1.6	200	12.6	522	32.8	812	51	DS	0.1	28	1.8	373	23.4	11	0.7	41	2.6	801
Rhode Island		44	1	1	211	DS	0.9	5	2.4	43	20.4	33	15.6	122	57.8	0	0	6	2.8	54	25.6	5	2.4	12	5.7	57
South Carolina		45	3	5	"1,970"	8	0.4	13	0.7	125	6.3	939	47.7	855	43.4	DS	0.1	28	1.4	388	19.7	44	2.2	76	3.9	265
South Dakota		46	2	4	206	39	18.9	DS	1	16	7.8	12	5.8	137	66.5	0	0	0	0	33	16	0	0	4	1.9	185
Tennessee		47	3	6	"1,399"	DS	0.1	12	0.9	54	3.9	658	47	655	46.8	0	0	18	1.3	263	18.8	7	0.5	36	2.6	406
Texas		48	3	7	"11,913"	63	0.5	239	2	"6,656"	55.9	"1,979"	16.6	"2,779"	23.3	22	0.2	175	1.5	"2,058"	17.3	354	3	"1,023"	8.6	"2,163"
Utah		49	4	8	234	11	4.7	5	2.1	43	18.4	5	2.1	168	71.8	DS	0.9	0	0	53	22.6	DS	0.9	14	6	205
Vermont		50	1	1	75	0	0	DS	2.7	0	0	0	0	73	97.3	0	0	0	0	19	25.3	10	13.3	0	0	65
Virginia		51	3	5	"1,632"	8	0.5	155	9.5	400	24.5	503	30.8	539	33	DS	0.1	25	1.5	365	22.4	18	1.1	479	29.4	431
Washington		53	4	9	"1,987"	38	1.9	142	7.1	485	24.4	230	11.6	954	48	37	1.9	101	5.1	363	18.3	63	3.2	193	9.7	636
West Virginia		54	3	5	260	0	0	0	0	8	3.1	29	11.2	221	85	0	0	DS	0.8	31	11.9	DS	0.8	0	0	159
Wisconsin		55	2	3	"1,415"	23	1.6	53	3.7	265	18.7	486	34.3	570	40.3	DS	0.1	16	1.1	507	35.8	13	0.9	149	10.5	606
Wyoming		56	4	8	72	4	5.6	DS	2.8	7	9.7	DS	2.8	55	76.4	0	0	DS	2.8	11	15.3	DS	2.8	0	0	88
